odds_H,odds_D,odds_A,source,implied_H,implied_D,implied_A,home,away,date,odds_spread
5.92,5.3,1.63,estimated (FIFA ranking based),0.179,0.2,0.65,Scotland,Brazil,2026-06-24,4.29
5.89,5.3,1.63,estimated (FIFA ranking based),0.18,0.2,0.649,Czechia,Mexico,2026-06-25,4.26
3.31,5.3,2.03,estimated (FIFA ranking based),0.32,0.2,0.521,South Africa,South Korea,2026-06-25,1.2800000000000002
3.42,5.3,1.99,estimated (FIFA ranking based),0.309,0.2,0.532,Ecuador,Germany,2026-06-25,1.43
4.05,5.3,1.84,estimated (FIFA ranking based),0.262,0.2,0.576,Curaçao,Ivory Coast,2026-06-25,2.21
4.13,5.3,1.83,estimated (FIFA ranking based),0.257,0.2,0.58,Tunisia,Netherlands,2026-06-25,2.3
2.21,5.3,2.91,estimated (FIFA ranking based),0.48,0.2,0.364,Japan,Sweden,2026-06-25,0.7000000000000002
2.04,5.3,3.3,estimated (FIFA ranking based),0.52,0.2,0.321,Turkey,United States,2026-06-26,1.2599999999999998
2.84,5.3,2.25,estimated (FIFA ranking based),0.374,0.2,0.47,Paraguay,Australia,2026-06-26,0.5899999999999999
6.11,5.3,1.62,estimated (FIFA ranking based),0.174,0.2,0.655,Norway,France,2026-06-26,4.49
1.77,5.3,4.45,estimated (FIFA ranking based),0.598,0.2,0.238,Senegal,Iraq,2026-06-26,2.68
3.05,5.3,2.14,estimated (FIFA ranking based),0.347,0.2,0.496,Uruguay,Spain,2026-06-27,0.9099999999999997
4.95,5.3,1.71,estimated (FIFA ranking based),0.214,0.2,0.619,Cape Verde Islands,Saudi Arabia,2026-06-27,3.24
5.89,5.3,1.63,estimated (FIFA ranking based),0.18,0.2,0.649,New Zealand,Belgium,2026-06-27,4.26
3.16,5.3,2.09,estimated (FIFA ranking based),0.335,0.2,0.508,Egypt,Iran,2026-06-27,1.0700000000000003
4.73,5.3,1.74,estimated (FIFA ranking based),0.224,0.2,0.61,Panama,England,2026-06-27,2.99
2.11,5.3,3.1,estimated (FIFA ranking based),0.501,0.2,0.341,Croatia,Ghana,2026-06-27,0.9900000000000002
3.42,5.3,1.99,estimated (FIFA ranking based),0.309,0.2,0.532,Colombia,Portugal,2026-06-27,1.43
2.01,5.3,3.38,estimated (FIFA ranking based),0.528,0.2,0.314,Congo DR,Uzbekistan,2026-06-27,1.37
11.73,5.3,1.46,estimated (FIFA ranking based),0.09,0.2,0.726,Jordan,Argentina,2026-06-28,10.27
2.51,5.3,2.51,estimated (FIFA ranking based),0.423,0.2,0.422,Algeria,Austria,2026-06-28,0.0
